show,season,ep,title,city_or_area,country,state,coordinates,source
Parts Unknown,1,6,Libya,Al Khums,Libya,NA,"32.650951,14.267899",https://www.imdb.com/title/tt2849400/locations?ref_=tt_dt_dt
Parts Unknown,1,6,Libya,Misrata,Libya,NA,"32.325588,15.099256",https://www.imdb.com/title/tt2849400/locations?ref_=tt_dt_dt
Parts Unknown,1,6,Libya,Murqub,Libya,NA,"32.459968,14.100133",https://www.imdb.com/title/tt2849400/locations?ref_=tt_dt_dt
Parts Unknown,1,7,Peru,Lima,Peru,NA,"-12.046373,-77.042754",https://www.imdb.com/title/tt2849408/locations?ref_=tt_dt_dt
Parts Unknown,1,7,Peru,Chiclayo,Peru,NA,"-6.776597,-79.844298",https://www.imdb.com/title/tt2849408/locations?ref_=tt_dt_dt
Parts Unknown,1,8,Congo,"Goma, North Kivu",Democratic Republic of the Congo,NA,"-1.658501,29.220455",https://www.imdb.com/title/tt2849384/locations?ref_=tt_dt_dt
Parts Unknown,1,8,Congo,"Kisangani, Orientale",Democratic Republic of the Congo,NA,"0.518530,25.200773",https://www.imdb.com/title/tt2849384/locations?ref_=tt_dt_dt
Parts Unknown,2,1,Prime Cuts: Season One,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,2,Jerusalem,Jerusalem,Israel,NA,"31.768319,35.213710",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,2,Jerusalem,"Aida, West Bank",Palestine,NA,"31.946570,35.302723",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,2,Jerusalem,Bethlehem,Palestine,NA,"31.705382,35.202442",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,2,Jerusalem,Ein Rafa,Israel,NA,"31.790605,35.116514",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,2,Jerusalem,Gaza,Palestine,NA,"31.354676,34.308826",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,2,Jerusalem,Bror Hayil,Israel,NA,"31.556985,34.646547",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,2,Jerusalem,Ramallah,Palestine,NA,"31.903764,35.203418",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1
Parts Unknown,2,3,Spain,"Granada, Andalucia",Spain,NA,"37.177336,-3.598557",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,4,New Mexico,Santa Fe,United States,New Mexico,"35.686975,-105.937799",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,4,New Mexico,Zia Pueblo,United States,New Mexico,"35.506976,-106.720311",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,4,New Mexico,Alberquerque,United States,New Mexico,"35.084386,-106.650422",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,5,Copenhagen,Copenhagen,Denmark,NA,"55.676097,12.568337",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,6,Sicily,NA,Sicily,NA,"37.599994,14.015356",http://anthonybourdain.tumblr.com/post/63750682556/failure
Parts Unknown,2,7,South Africa,Johannesburg,South Africa,NA,"-26.204103,28.047305",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,8,Tokyo,Tokyo,Japan,NA,"35.689487,139.691706",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,2,9,Detroit,Detroit,United States,Michigan,"42.331427,-83.045754",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,1,Prime Cuts: Season Two,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,2,"Punjab, India","Amritsar, Punjab",India,NA,"31.633979,74.872264",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,3,Las Vegas,Las Vegas,United States,Nevada,"36.169941,-115.139830",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,4,Lyon,Lyon,France,NA,"45.764043,4.835659",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,5,Mexico City,Mexico City,Mexico,NA,"19.432608,-99.133208",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,5,Mexico City,Oaxaca,Mexico,NA,"17.073184,-96.726589",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,5,Mexico City,Cuernavaca,Mexico,NA,"18.924209,-99.221566",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,6,Russia,Moscow,Russia,NA,"55.755826,37.617300",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,6,Russia,St. Petersburg,Russia,NA,"59.934280,30.335099",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,7,Mississippi Delta,Jackson,United States,Mississippi,"32.298757,-90.184810",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,7,Mississippi Delta,Merigold,United States,Mississippi,"33.839001,-90.726209",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,8,Thailand,Chiang Mai Province,Thailand,NA,"18.787747,98.993128",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,3,9,"Bahia, Brazil",Bahia,Brazil,NA,"-12.579738,-41.700727",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,1,Prime Cuts: Season Three,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,2,Shanghai,Shanghai,China,NA,"31.230390,121.473702",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,3,The Bronx,"The Bronx, New York",United States,New York,"40.844782,-73.864827",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,4,Paraguay,Asunción,Paraguay,NA,"-25.263740,-57.575926",https://www.cnn.com/travel/article/paraguay-parts-unknown-season-4-ep-3/index.html
Parts Unknown,4,5,Vietnam,Huế,Vietnam,NA,"16.463712,107.590863",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,5,Vietnam,Quảng Trị,Vietnam,NA,"16.794347,106.963409",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,6,Tanzania,Zanzibar,Tanzania,NA,"-6.135730,39.362120",https://www.imdb.com/title/tt4129732/plotsummary?ref_=tt_ov_pl
Parts Unknown,4,6,Tanzania,Serengeti,Tanzania,NA,"-2.153994,34.685651",https://www.imdb.com/title/tt4129732/plotsummary?ref_=tt_ov_pl
Parts Unknown,4,6,Tanzania,Ngorongoro Crater,Tanzania,NA,"-3.161752,35.587670",https://www.imdb.com/title/tt4129732/plotsummary?ref_=tt_ov_pl
Parts Unknown,4,7,Iran,Isfana,Iran,NA,"32.654627,51.667983",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,7,Iran,Tehran,Iran,NA,"35.689197,51.388974",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,8,Massachusetts,Provincetown,United States,Massachusetts,"42.058441,-70.178643",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,8,Massachusetts,Franklin County,United States,Massachusetts,"42.530599,-72.615117",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,9,Jamaica,Port Antonio,Jamaica,NA,"18.171276,-76.447632",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,4,9,Jamaica,Oracabessa,Jamaica,NA,"18.403475,-76.938379",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,1,Prime Cuts: Season Four,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,2,Korea,Seoul,South Korea,NA,"37.566535,126.977969",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,3,Miami,Miami,United States,Florida,"25.761680,-80.191790",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,4,Scotland,Glasgow,"Scotland, United Kingdom",NA,"55.864237,-4.251806",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,5,Madagascar,Antananarivo,Madagascar,NA,"-18.879190,47.507905",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,6,New Jersey,Barnegat Light,United States,New Jersey,"39.757620,-74.106247",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,6,New Jersey,Atlantic City,United States,New Jersey,"39.364283,-74.422927",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,6,New Jersey,Fort Lee,United States,New Jersey,"40.850933,-73.970138",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,6,New Jersey,Asbury Park,United States,New Jersey,"40.220391,-74.012082",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,6,New Jersey,Camden,United States,New Jersey,"39.925946,-75.119620",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,7,Budapest,Budapest,Hungary,NA,"47.497912,19.040235",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,8,Hawaii,Honolulu,United States,Hawaii,"21.306944,-157.858333",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,8,Hawaii,Molokai,United States,Hawaii,"21.144393,-157.022630",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,5,9,Beirut,Beirut,Lebanon,NA,"33.893791,35.501777",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,1,Prime Cuts: Season Five,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,2,Cuba,Havana,Cuba,NA,"23.113592,-82.366596",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,2,Cuba,Santiago,Cuba,NA,"20.016930,-75.830154",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,3,"Marseille, France",Marseille,France,NA,"43.296482,5.369780",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,4,Okinawa,"Okinawa, Japan",Japan,NA,"26.212401,127.680932",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,5,Bay Area,San Francisco Bay Area,United States,California,"37.827178,-122.291308",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,6,Ethiopia,Addis Ababa,Ethiopia,NA,"8.980603,38.757761",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,7,Borneo,Kuching,Malaysia,NA,"1.553504,110.359293",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,8,Istanbul,Istanbul,Turkey,NA,"41.008238,28.978359",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,9,"Charleston, SC",Charleston,United States,South Carolina,"32.776475,-79.931051",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,6,9,"Charleston, SC",Hemingway,United States,South Carolina,"33.753777,-79.447557",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,1,Prime Cuts: Season Six,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,2,"Manila, Philippines",Manila,Philippines,NA,"14.599512,120.984219",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,3,Chicago,Chicago,United States,Illinois,"41.878114,-87.629798",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,4,The Greek Islands,Naxos,Greece,NA,"37.103566,25.377673",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,5,Montana,Butte,United States,Montana,"46.003823,-112.534778",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,5,Montana,Powell County,United States,Montana,"46.931145,-112.974547",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,5,Montana,Crow Indian Reservation,United States,Montana,"45.383294,-107.833996",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,6,"Tbilisi, Georgia",Tbilisi,Georgia,NA,"41.789233,44.775387",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,7,Senegal,Dakar,Senegal,NA,"14.716677,-17.467686",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,7,8,"Cologne, Germany",Cologne,Germany,NA,"50.937531,6.960279",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,1,Prime Cuts: Season Seven,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,2,Hanoi,Hanoi,Vietnam,NA,"21.027764,105.834160",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,3,Nashville,Nashville,United States,Tennessee,"36.162664,-86.781602",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,4,Sichuan,"Chengdu, Sichuan",China,NA,"30.572815,104.066801",https://explorepartsunknown.com/sichuan/eat-like-bourdain-sichuan/
Parts Unknown,8,4,Sichuan,"Leshan, Sichuan",China,NA,"29.552115,103.765678",https://explorepartsunknown.com/sichuan/eat-like-bourdain-sichuan/
Parts Unknown,8,5,London,London,"England, United Kingdom",NA,"51.507351,-0.127758",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,6,Houston,Houston,United States,Texas,"29.760427,-95.369803",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,7,Japan,Ishikawa Prefecture,Japan,NA,"36.594682,136.625573",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,7,Japan,Tochigi Prefecture,Japan,NA,"36.565725,139.883565",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,8,Buenos Aires,Buenos Aires,Argentina,NA,"-34.603684,-58.381559",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,9,"Minas Gerais, Brazil",Minas Gerais,Brazil,NA,"-18.512178,-44.555031",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,8,10,Rome,Rome,Italy,NA,"41.902783,12.496366",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,9,1,Prime Cuts: Season Eight,NA,NA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,9,2,Los Angeles,Los Angeles,United States,California,"34.052234,-118.243685",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,9,3,San Sebastian,San Sebastian,Spain,NA,"43.318334,-1.981231",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,9,4,Laos,Luang Prabang,Laos,NA,"20.065623,102.621621",https://explorepartsunknown.com/destination/laos/
Parts Unknown,9,5,Queens,"Queens, New York",United States,New York,"40.728224,-73.794852",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,9,6,Antarctica,Lake Hoare,Antarctica,NA,"-77.628466,162.881828",https://www.eater.com/2017/6/4/15732806/anthony-bourdain-antarctica-parts-unknown
Parts Unknown,9,7,Oman,Jebel Akhdar,Oman,NA,"23.185608,57.371388",https://explorepartsunknown.com/oman/bourdains-field-notes-oman/
Parts Unknown,9,7,Oman,Muscat,Oman,NA,"23.585890,58.405923",https://explorepartsunknown.com/oman/bourdains-field-notes-oman/
Parts Unknown,9,8,Trinidad,"Port Of Spain, Trinidad",Trinidad and Tobago,NA,"10.654901,-61.501926",https://uproxx.com/life/anthony-bourdain-parts-unknown-trinidad/2/
Parts Unknown,9,9,"Porto, Portugal",Porto,Portugal,NA,"41.157944,-8.629105",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,10,1,Singapore,Singapore,Singapore,NA,"1.352083,103.819836",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,10,2,French Alps,Argentière,France,NA,"45.983986,6.926873",https://explorepartsunknown.com/french-alps/eat-like-bourdain-2/
Parts Unknown,10,2,French Alps,Chamonix-Mont-Blanc,France,NA,"45.923697,6.869433",https://explorepartsunknown.com/french-alps/eat-like-bourdain-2/
Parts Unknown,10,2,French Alps,Nus,Italy,NA,"45.800828,7.499153",https://explorepartsunknown.com/french-alps/eat-like-bourdain-2/
Parts Unknown,10,2,French Alps,Vallorcine,France,NA,"46.033505,6.931817",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,10,3,"Lagos, Nigeria",Lagos,Nigeria,NA,"6.524379,3.379206",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,10,4,Pittsburgh,Pittsburg,United States,Pennsylvania,"40.440625,-79.995886",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,10,5,Sri Lanka,Colombo,Sri Lanka,NA,"6.927079,79.861243",https://explorepartsunknown.com/sri-lanka/bourdains-field-note-sri-lanka/
Parts Unknown,10,5,Sri Lanka,Jaffna,Sri Lanka,NA,"9.661498,80.025547",https://explorepartsunknown.com/sri-lanka/bourdains-field-note-sri-lanka/
Parts Unknown,10,6,Puerto Rico,"Valle Costero, Puerto Rico",United States,NA,"18.010562,-66.376779",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-puerto-rico
Parts Unknown,10,6,Puerto Rico,"San Juan, Puerto Rico",United States,NA,"18.465539,-66.105735",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-puerto-rico
Parts Unknown,10,6,Puerto Rico,"Ciales, Puerto Rico",United States,NA,"18.335325,-66.468072",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-puerto-rico
Parts Unknown,10,6,Puerto Rico,"Vieques, Puerto Rico",United States,NA,"18.126285,-65.440098",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-puerto-rico
Parts Unknown,10,7,Seattle,Seattle,United States,Washington,"47.606209,-122.332071",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,10,8,Southern Italy,Lecce,Italy,NA,"40.351515,18.175016",https://www.cntraveler.com/story/anthony-bourdains-parts-unknown-visits-southern-italy
Parts Unknown,10,8,Southern Italy,Bernalda,Italy,NA,"40.410981,16.689595",https://www.cntraveler.com/story/anthony-bourdains-parts-unknown-visits-southern-italy
Parts Unknown,10,8,Southern Italy,Torre Canne,Italy,NA,"40.840472,17.470018",https://www.cntraveler.com/story/anthony-bourdains-parts-unknown-visits-southern-italy
Parts Unknown,11,1,West Virginia,War,United States,West Virginia,"37.301225,-81.690943",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,1,West Virginia,Man,United States,West Virginia,"37.739829,-81.877619",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,1,West Virginia,Lost Creek,United States,West Virginia,"39.161203,-80.352034",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,1,West Virginia,Welch,United States,West Virginia,"37.432891,-81.584551",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,1,West Virginia,Philippi,United States,West Virginia,"39.152320,-80.040358",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,2,Uruguay,Santa Lucia,Uruguay,NA,"-34.452252,-56.388019",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,2,Uruguay,Montevideo,Uruguay,NA,"-34.901113,-56.164531",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,2,Uruguay,Jose Ignacio,Uruguay,NA,"-34.835915,-54.645146",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,3,Newfoundland,"Petty Harbour, Newfoundland",Canada,NA,"47.469784,-52.705178",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-newfoundland
Parts Unknown,11,3,Newfoundland,"St. John's, Newfoundland",Canada,NA,"47.561510,-52.712577",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-newfoundland
Parts Unknown,11,3,Newfoundland,St. Pierre and Miquelon,France,NA,"46.885200,-56.315900",https://www.cntraveler.com/story/recap-anthony-bourdains-parts-unknown-visits-newfoundland
Parts Unknown,11,4,Armenia,Yerevan,Armenia,NA,"40.179186,44.499103",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,5,Hong Kong,Hong Kong,China,NA,"22.396428,114.109497",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,6,Berlin,Berlin,Germany,NA,"52.520007,13.404954",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown
Parts Unknown,11,7,Cajun Mardi Gras,Mamou,United States,Louisiana,"30.633809,-92.419299",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,7,Cajun Mardi Gras,Grand Coteau,United States,Louisiana,"30.419920,-92.046509",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,7,Cajun Mardi Gras,Lafayette,United States,Louisiana,"30.224090,-92.019843",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,7,Cajun Mardi Gras,Opelousas,United States,Louisiana,"30.533530,-92.081509",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,8,Bhutan,Thimphu,Bhutan,NA,"27.472792,89.639286",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,8,Bhutan,Punakha,Bhutan,NA,"27.592087,89.879746",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/
Parts Unknown,11,8,Bhutan,Bumthang,Bhutan,NA,"27.641839,90.677305",http://cnnpressroom.blogs.cnn.com/2018/04/09/season-11-of-cnn-original-series-anthony-bourdain-parts-unknown-launches-sunday-april-29-at-9pm-with-a-tour-of-west-virginia-in-an-extended-episode/